timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
27,4,1972,1,1,100,1,21,1,4,0,1,0,4,0,0,0,0,2,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0012,0.3000,0,3
27,10,1972,1,1,100,1,21,4,22,0,8,6,23,0,1,5,5,2,6,86,2,1,1,0,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1742,14.1000,0,14
27,23,1972,1,1,100,1,21,2,8,0,1,1,8,0,0,0,0,4,2,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.0146,1.8000,0,7
27,33,1972,2,1,100,1,21,1,6,0,3,1,7,0,1,3,3,0,2,23,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.0132,19.8000,0,3
27,38,1972,2,1,100,1,21,8,25,0,2,6,28,5,3,1,1,7,10,112,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.2883,18.8000,0,24
28,3,1972,1,1,100,1,21,2,6,0,0,0,7,0,1,0,0,2,4,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.3408,17.7000,0,6
28,10,1972,1,1,100,1,21,7,21,0,3,4,25,2,2,1,1,8,8,91,0,1,1,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2661,27.4000,0,21
28,33,1972,2,1,100,1,21,1,5,0,1,0,6,0,1,0,0,1,2,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0380,7.7000,0,3
28,38,1972,2,1,100,1,21,8,29,0,5,3,29,1,0,2,2,9,12,107,0,1,1,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0289,26.8000,0,24
29,3,1972,1,1,100,1,21,2,5,0,0,0,6,0,0,0,0,3,3,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3084,11.6000,0,6
29,4,1972,1,1,100,1,21,2,5,0,1,0,8,0,1,0,0,4,2,20,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.4111,27.1000,0,6
